megalitres,month,year
165.5,10,1982
205,11,1982
205.2,12,1982
141.6,1,1983
148.1,2,1983
184.9,3,1983
132.5,4,1983
137.3,5,1983
135.5,6,1983
121.7,7,1983
166.1,8,1983
146.8,9,1983
162.8,10,1983
186.8,11,1983
185.5,12,1983
151.5,1,1984
158.1,2,1984
143,3,1984
151.2,4,1984
147.6,5,1984
130.7,6,1984
137.5,7,1984
146.1,8,1984
133.6,9,1984
167.9,10,1984
181.9,11,1984
202,12,1984
166.5,1,1985
151.3,2,1985
146.2,3,1985
148.3,4,1985
144.7,5,1985
123.6,6,1985
151.6,7,1985
133.9,8,1985
137.4,9,1985
181.6,10,1985
182,11,1985
190,12,1985
161.2,1,1986
155.5,2,1986
141.9,3,1986
164.6,4,1986
136.2,5,1986
126.8,6,1986
152.5,7,1986
126.6,8,1986
150.1,9,1986
186.3,10,1986
147.5,11,1986
200.4,12,1986
177.2,1,1987
127.4,2,1987
177.1,3,1987
154.4,4,1987
135.2,5,1987
126.4,6,1987
147.3,7,1987
140.6,8,1987
152.3,9,1987
151.2,10,1987
172.2,11,1987
215.3,12,1987
154.1,1,1988
159.3,2,1988
160.4,3,1988
151.9,4,1988
148.4,5,1988
139.6,6,1988
148.2,7,1988
153.5,8,1988
145.1,9,1988
183.7,10,1988
210.5,11,1988
203.3,12,1988
153.3,1,1989
144.3,2,1989
169.6,3,1989
143.7,4,1989
160.1,5,1989
135.6,6,1989
141.8,7,1989
159.9,8,1989
145.7,9,1989
183.5,10,1989
198.2,11,1989
186.8,12,1989
172,1,1990
150.6,2,1990
163.3,3,1990
153.7,4,1990
152.9,5,1990
135.5,6,1990
148.5,7,1990
148.4,8,1990
133.6,9,1990
194.1,10,1990
208.6,11,1990
197.3,12,1990
164.4,1,1991
148.1,2,1991
152,3,1991
144.1,4,1991
155,5,1991
124.5,6,1991
153,7,1991
146,8,1991
138,9,1991
190,10,1991
192,11,1991
192,12,1991
147,1,1992
133,2,1992
163,3,1992
150,4,1992
129,5,1992
131,6,1992
145,7,1992
137,8,1992
138,9,1992
168,10,1992
176,11,1992
188,12,1992
139,1,1993
143,2,1993
150,3,1993
154,4,1993
137,5,1993
129,6,1993
128,7,1993
140,8,1993
143,9,1993
151,10,1993
177,11,1993
184,12,1993
151,1,1994
134,2,1994
164,3,1994
126,4,1994
131,5,1994
125,6,1994
127,7,1994
143,8,1994
143,9,1994
160,10,1994
190,11,1994
182,12,1994
138,1,1995
136,2,1995
152,3,1995
127,4,1995
151,5,1995
130,6,1995
119,7,1995
153,8,1995
